# Heliports carrying a real ICAO code. Source: OpenStreetMap (ODbL), via fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Unnamed rooftop and hospital pads are deliberately excluded: a pictogram with no usable
# identifier beside it tells the wearer nothing.
# Columns: code,lat,lon,type,flags   (type 0 = airfield, flags 2 = helipad, +1 = military)
code,lat,lon,type,flags
PACA,58.19931,-136.64006,0,2
PPDM,65.75836,-168.95369,0,2
RJFH,33.67798,130.39185,0,2
RJTI,35.63608,139.83843,0,2
RJTS,36.43512,138.95333,0,3
RKDD,37.23950,131.86918,0,2
RKSH,37.67307,127.10770,0,2
RSH,50.81974,-0.11641,0,2
SBFS,-22.03053,-41.06852,0,2
SDAB,-8.03374,-34.87113,0,2
SDAC,-23.47488,-46.52220,0,2
SDAH,-23.49355,-46.84834,0,2
SDAK,-22.29647,-46.85559,0,2
SDAL,-21.22666,-47.78208,0,2
SDAP,-23.56528,-46.64222,0,2
SDAT,-23.56320,-46.56172,0,2
SDAV,-20.17250,-43.92028,0,2
SDAW,-23.59190,-46.68543,0,2
SDAX,-23.53944,-46.64932,0,2
SDAZ,-22.90911,-43.18135,0,2
SDBC,-23.48752,-46.85778,0,2
SDBF,-23.53040,-46.64531,0,2
SDBG,-23.00665,-43.34727,0,2
SDBH,-23.59517,-46.71071,0,2
SDBL,-23.56218,-46.65405,0,2
SDBM,-23.56778,-46.64146,0,2
SDBO,-19.46626,-44.37282,0,2
SDBQ,-3.74171,-38.48008,0,2
SDBR,-23.60860,-46.69457,0,2
SDBS,-23.57609,-46.68722,0,2
SDBT,-23.27278,-47.55622,0,2
SDBW,-23.54354,-46.64464,0,2
SDCC,-21.71582,-47.48086,0,2
SDCI,-19.81814,-44.34475,0,2
SDCP,-22.73692,-46.74700,0,2
SDCQ,-23.59320,-46.85306,0,2
SDCS,-16.09252,-39.41307,0,2
SDCT,-21.12802,-44.16982,0,2
SDCV,-23.56498,-46.65347,0,2
SDCY,-23.59171,-46.68780,0,2
SDDF,-2.52452,-44.29060,0,2
SDDG,-23.53871,-46.66245,0,2
SDDH,-23.58885,-46.68128,0,2
SDDM,-22.94669,-43.19816,0,2
SDDO,-22.90421,-43.17528,0,2
SDDP,-23.56794,-46.64602,0,2
SDDT,-22.38892,-41.77066,0,2
SDDU,-3.74135,-38.48732,0,2
SDDW,-22.99865,-44.24899,0,2
SDDY,-23.82364,-46.36791,0,2
SDDZ,-22.69673,-51.33261,0,2
SDEA,-23.58357,-46.68394,0,2
SDEC,-8.06539,-34.89672,0,2
SDEF,-23.53234,-46.38628,0,2
